project,location,inc_date,core,type,Season,n2o_flux,ch4_flux,co2_flux,sed_den,sed_por,sed_om,temp,salin,nh4_start,nox_start
NEOY,Duxbury Bay,6/19/18,6,bare,,50.8,560,584.17,,,1.33,20.25,31.40,1.37,0.12
NEOY,Duxbury Bay,6/19/18,35,bare,,50.8,1153,768.43,,,1.33,19.83,31.75,1.92,0.15
NEOY,Duxbury Bay,6/19/18,75,bare,,50.8,425,430.82,,,1.33,19.73,31.70,2.28,0.08
NEOY,Duxbury Bay,6/19/18,16,oyster,,26.6,1922,744.54,,,3.92,19.83,31.65,6.27,0.13
NEOY,Duxbury Bay,6/19/18,18,oyster,,-8.5,840,2540.35,,,3.92,19.75,31.65,7.36,0.15
NEOY,Duxbury Bay,6/19/18,21,oyster,,50.8,820,572.80,,,3.92,19.83,31.55,10.01,0.24
NEOY,Duxbury Bay,8/30/18,33,bare,,0,518,632.79,1.71,0.49,1.19,25.30,31.65,3.73,0.76
NEOY,Duxbury Bay,8/30/18,35,bare,,-23.2,131,820.07,1.71,0.49,1.19,25.33,31.65,2.47,1.36
NEOY,Duxbury Bay,8/30/18,50,bare,,-55.7,0,357.32,1.71,0.49,1.19,25.40,31.55,2.92,1.20
NEOY,Duxbury Bay,8/30/18,3,oyster,,16.2,0,811.08,1.56,0.57,2.64,25.40,31.60,6.70,1.11
NEOY,Duxbury Bay,8/30/18,14,oyster,,0,0,926.60,1.56,0.57,2.64,25.30,31.70,10.71,1.92
NEOY,Duxbury Bay,8/30/18,16,oyster,,-14,704,1171.73,1.56,0.57,2.64,25.35,31.65,10.07,0.94
NEOY,Ninigret Pond,6/13/18,12,bare,,-14.80,268.00,1006.73,,,0.86,20.85,29.80,2.46,1.09
NEOY,Ninigret Pond,6/13/18,16,bare,,-58.40,498.00,1332.62,,,0.86,20.83,29.85,1.88,0.24
NEOY,Ninigret Pond,6/13/18,75,bare,,-47.60,411.00,1852.96,,,0.86,20.95,29.80,1.93,0.28
NEOY,Ninigret Pond,6/13/18,6,oyster,,-64.50,1208.00,2464.26,,,0.86,20.93,29.80,2.92,0.23
NEOY,Ninigret Pond,6/13/18,17,oyster,,-37.50,1473.00,2723.41,,,0.86,20.93,29.80,1.91,0.24
NEOY,Ninigret Pond,6/13/18,18,oyster,,-29.00,395.00,1765.07,,,0.86,20.80,29.80,2.13,0.25
NEOY,Ninigret Pond,9/11/18,3,bare,,0.60,214.00,775.37,1.90,0.44,0.74,18.43,32.15,1.55,0.27
NEOY,Ninigret Pond,9/11/18,35,bare,,-76.80,0.00,511.02,1.90,0.44,0.74,18.40,32.15,2.02,0.21
NEOY,Ninigret Pond,9/11/18,50,bare,,-106.00,-166.00,1710.02,1.90,0.44,0.74,18.43,32.15,1.28,0.25
NEOY,Ninigret Pond,9/11/18,14,oyster,,-54.80,165.00,2106.82,1.80,0.45,0.84,18.40,32.15,2.02,0.28
NEOY,Ninigret Pond,9/11/18,16,oyster,,-30.60,-338.00,1355.12,1.80,0.45,0.84,18.40,32.15,1.21,0.21
NEOY,Ninigret Pond,9/11/18,75,oyster,,-39.60,547.00,1665.02,1.80,0.45,0.84,18.38,32.10,1.88,0.56
