Collection Date,Net Incubation Date,Isotope Incubation Date,Location,Treatment,Sample ID 1,Sample ID 2,Sample 3,Lat,Long,
6/18/18,6/19/18,6/20/18,Duxbury Bay,Aqua,6/20/18 DB MA1,6/20/18 DB MA2,,42.02252,_70.64671,
6/18/18,6/19/18,6/20/18,Duxbury Bay,Ctrl,6/20/18 DB MA3,6/20/18 DB MA4,,42.02252,_70.64671,
8/29/18,8/30/18,8/31/18,Duxbury Bay,Aqua,Duxbury 8/18 A1,Duxbury 8/18 A2,,42.02252,_70.64671,
8/29/18,8/30/18,8/31/18,Duxbury Bay,Ctrl,Duxbury 8/18 C1,Duxbury 8/18 C2,,42.02252,_70.64671,
6/12/18,6/13/18,6/14/18,Ninigret Pond,Aqua,61418 1A,61418 2A,,41.62993,_71.23055,
6/12/18,6/13/18,6/14/18,Ninigret Pond,Ctrl,61418 1CT,61418 2CT ,,41.62993,_71.23055,
9/10/18,9/11/18,9/12/18,Ninigret Pond,Aqua,Ninigret 9/18 A1,Ninigret 9/18 A2,,41.62993,_71.23055,
9/10/18,9/11/18,9/12/18,Ninigret Pond,Ctrl,Ninigret 9/18 C1,Ninigret 9/18 C2,,41.62993,_71.23055,
7/27/18,7/28/18,7/29/18,RWU,Aqua,7-29 RWU aq 1,7-29 RWU aq 2,,41.64982,_71.25644,
7/27/18,7/28/18,7/29/18,RWU,Ctrl,7/29 RWU ctrl 1,7/29 RWU ctrl 2,,41.64982,_71.25644,
9/20/18,9/21/18,9/22/18,RWU,Aqua,RWU 9/18 A1,RWU 9/18 A2,,41.64982,_71.25644,
9/20/18,9/21/18,9/22/18,RWU,Ctrl,RWU 9/18 Ctrl1,RWU 9/18 Ctrl2,,41.64982,_71.25644,
8/3/18,8/4/18,8/5/18,Saltbox,Aqua,Saltbox 8/18 Aq 1,Saltbox 8/18 Aq 2,,41.3574,_71.65565,
8/3/18,8/4/18,8/5/18,Saltbox,Ctrl,Saltbox 8/18 Ctrl 1,Saltbox 8/18 Ctrl 2,,41.3574,_71.65565,
9/27/18,9/28/18,10/1/18,Saltbox,Aqua,Saltbox 10/18 A1,Saltbox 10/18 A2,,41.3574,_71.65565,
9/27/18,9/28/18,10/1/18,Saltbox,Ctrl,Saltbox 10/18 C1,Saltbox 10/18 C2,,41.3574,_71.65565,
,,,,,,,,,,
,,,,,,,,,,
4/18/18,4/19/18,4/20/18,Town Pond,Spring,TP1 4/20/18,TP2 4/20/18,TP3 4/20/18,41.637078,-71.24357,
7/11/18,7/12/18,7/13/18,Town Pond,Summer,TP 7/18-1,TP 7/18-2,,41.637078,-71.24357,
10/23/18,10/24/18,10/25/18,Town Pond,Fall,Town Pond 10/18 #1,Town Pond 10/18 #2,,41.637078,-71.24357,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,*isotope incubation date is also when the molecular/microbial samples were collected,,,,,,,,,
