Collection Date,Net Incubation Date,Isotope Incubation Date,Location,Season,Treatment,Sample ID,Lat,Long
6/18/18,6/19/18,6/20/18,Duxbury Bay,Summer,Oyster,DB_20180618_O1,42.02252,-70.64671
6/18/18,6/19/18,6/20/18,Duxbury Bay,Summer,Oyster,DB_20180618_O2,42.02252,-70.64671
6/18/18,6/19/18,6/20/18,Duxbury Bay,Summer,Bare,DB_20180618_B1,42.02252,-70.64671
6/18/18,6/19/18,6/20/18,Duxbury Bay,Summer,Bare,DB_20180618_B2,42.02252,-70.64671
8/29/18,8/30/18,8/31/18,Duxbury Bay,Summer,Oyster,DB_20180818_O1,42.02252,-70.64671
8/29/18,8/30/18,8/31/18,Duxbury Bay,Summer,Oyster,DB_20180818_O2,42.02252,-70.64671
8/29/18,8/30/18,8/31/18,Duxbury Bay,Summer,Bare,DB_20180818_B1,42.02252,-70.64671
8/29/18,8/30/18,8/31/18,Duxbury Bay,Summer,Bare,DB_20180818_B2,42.02252,-70.64671
6/12/18,6/13/18,6/14/18,Ninigret Pond,Summer,Oyster,NP_20180612_O1,41.62993,-71.23055
6/12/18,6/13/18,6/14/18,Ninigret Pond,Summer,Oyster,NP_20180612_O2,41.62993,-71.23055
6/12/18,6/13/18,6/14/18,Ninigret Pond,Summer,Bare,NP_20180612_B1,41.62993,-71.23055
6/12/18,6/13/18,6/14/18,Ninigret Pond,Summer,Bare,NP_20180612_B2,41.62993,-71.23055
9/10/18,9/11/18,9/12/18,Ninigret Pond,Fall,Oyster,NP_20180910_O1,41.62993,-71.23055
9/10/18,9/11/18,9/12/18,Ninigret Pond,Fall,Oyster,NP_20180910_O2,41.62993,-71.23055
9/10/18,9/11/18,9/12/18,Ninigret Pond,Fall,Bare,NP_20180910_B1,41.62993,-71.23055
9/10/18,9/11/18,9/12/18,Ninigret Pond,Fall,Bare,NP_20180910_B2,41.62993,-71.23055
7/27/18,7/28/18,7/29/18,RWU,Summer,Oyster,RWU_20180727_O1,41.64982,-71.25644
7/27/18,7/28/18,7/29/18,RWU,Summer,Oyster,RWU_20180727_O2,41.64982,-71.25644
7/27/18,7/28/18,7/29/18,RWU,Summer,Bare,RWU_20180727_B1,41.64982,-71.25644
7/27/18,7/28/18,7/29/18,RWU,Summer,Bare,RWU_20180727_B2,41.64982,-71.25644
9/20/18,9/21/18,9/22/18,RWU,Fall,Oyster,RWU_20180920_O1,41.64982,-71.25644
9/20/18,9/21/18,9/22/18,RWU,Fall,Oyster,RWU_20180920_O2,41.64982,-71.25644
9/20/18,9/21/18,9/22/18,RWU,Fall,Bare,RWU_20180920_B1,41.64982,-71.25644
9/20/18,9/21/18,9/22/18,RWU,Fall,Bare,RWU_20180920_B2,41.64982,-71.25644
8/3/18,8/4/18,8/5/18,Saltbox,Summer,Oyster,SB_20180803_O1,41.3574,-71.65565
8/3/18,8/4/18,8/5/18,Saltbox,Summer,Oyster,SB_20180803_O2,41.3574,-71.65565
8/3/18,8/4/18,8/5/18,Saltbox,Summer,Bare,SB_20180803_B1,41.3574,-71.65565
8/3/18,8/4/18,8/5/18,Saltbox,Summer,Bare,SB_20180803_B2,41.3574,-71.65565
9/27/18,9/28/18,10/1/18,Saltbox,Fall,Oyster,SB_20180927_O1,41.3574,-71.65565
9/27/18,9/28/18,10/1/18,Saltbox,Fall,Oyster,SB_20180927_O2,41.3574,-71.65565
9/27/18,9/28/18,10/1/18,Saltbox,Fall,Bare,SB_20180927_B1,41.3574,-71.65565
9/27/18,9/28/18,10/1/18,Saltbox,Fall,Bare,SB_20180927_B2,41.3574,-71.65565
4/18/18,4/19/18,4/20/18,Town Pond,Spring,Oyster,TP_20180418_O1,41.637078,-71.24357
4/18/18,4/19/18,4/20/18,Town Pond,Spring,Oyster,TP_20180418_O2,41.637078,-71.24357
4/18/18,4/19/18,4/20/18,Town Pond,Spring,Oyster,TP_20180418_O3,41.637078,-71.24357
7/11/18,7/12/18,7/13/18,Town Pond,Summer,Oyster,TP_20180711_O1,41.637078,-71.24357
7/11/18,7/12/18,7/13/18,Town Pond,Summer,Oyster,TP_20180711_O2,41.637078,-71.24357
10/23/18,10/24/18,10/25/18,Town Pond,Fall,Oyster,TP_20181023_O1,41.637078,-71.24357
10/23/18,10/24/18,10/25/18,Town Pond,Fall,Oyster,TP_20181023_O2,41.637078,-71.24357
